Description;Category;About;Capacity;Rating;Price;CurrencyID;LocationID;UsersID
Lovely Apartment in Heart of Vienna near Metro!;Apartment;Very lovely and comfortable apartment near the metro U1 - Vorgartenstrasse. Ideal for couples or family trip with child. Comfortable bed in a room. Also, a sofa with a neat little table for relaxing, the sofa unfolds and accommodates 1 person more. The apartment has everything you need for cooking, as well as beds made of clean sheets, pillowcases, duvet covers, and a towel per person are prepared for your arrival. Free wifi;3;4.2;25;5;1;1
Room with terrace, Vienna, next to downtown, metro;Room;Right on the pulse of the city, convinces with its central and urban location with great infrastructure. Numerous restaurants, supermarkets, bars & clubs are easy to reach. The property is suitable for couples and solo adventurers who want to explore the city. Book today and save money!;2;3.4;14;5;2;1
Flatbush Hideaway - Quiet and close to subway!;House;Newly renovated, LED Lighting, smart plugs and outlets. Private entry and full bath with stall shower. Quiet and clean! The space is in the historic Flatbush section of Brooklyn and short 2 minute walk to the subway! Contact me directly if you''re interested in staying more than 14 days.;4;4.8;48;1;3;3
Queen Room;Room;Must-visit shops, eateries & sights are right on your doorstep. Smart design & refined style flow throughout this contemporary atmosphere. Rendezvous at the hotel restaurant & bar & savor killer city views from the rooftop terrace.;2;4.8;70;1;4;3
Studio Flat Farringdon, Clerkenwell, Holborn 501A;Apartment;"There is small desk space with an office chair, and its own personal WiFi router is provided. A double wardrobe containing plenty of hanging and storage space. Fully functional kitchen complete with a hob, microwave, toaster and kettle; alongside all cookware and utensils and its own fridge freezer. Its own private bathroom (pod), small but has everything you need.";1;2.7;86;2;5;5
Private studio in Central London;Apartment;Although our apartments are self-contained our buildings are not. Therefore in line with government guidelines guests must self-certify prior to arrival. This will be required until leisure stays are fully permitted (currently date is 17th May). Perfect for one person, or cosy for two. Styled on our larger studios, the City Studios include all you need with super-fast Wi-Fi, interactive TV with ability to stream content direct from your laptop or mobile device, mini kitchen, spacious bathroom, and independently controlled airconditioning.;2;4.0;55;2;6;5
Bonito centrico LOFT C/Jacuzzi en terraza privada;Loft;50m2 room w/Jacuzzi on private terrace, double bedroom, sofa bed, 2 individual air mattresses, minibar, coffee maker, bar/canteen, 65’TV (Netflix, Amazon, Blim, IZZI Premium), HK horn, desk, hair dryer, iron p/clothes, barbecue, outdoor laundry wash, garden dining room, independent access to the apartment, elevator, are 5 min 3 commercial spaces, cinemas, restaurants, cafes, bars, banks, park, ISSSTE Hospital November 20 and others, 7Eleven on corner.;4;3.9;830;7;7;7
Nice historic porfirian apt with terrace;House;High ceilings and wood floors are part of these beautiful rooms, the bathroom and closet are huge and very comfortable. The apartment is a pleasant walk from the Bosque de Chapultepec museums, including Museo de Arte Moderno, Museo Tamayo, and the world-famous Museo de Antropologia e Historia.;4;4.7;920;7;8;7
H2O Stay Morishita 4ppl wifi 5min to station;Apartment;We have re-innovated our rooms for family guest with big and spacious rooms so that whole family members can relax! Each room can accommodate four guests with one double bed and double size sofa bed. We have basic utilities for guests to enjoy cooking and relaxing time in the room. Tokyo trip may be busy . But we will serve our guest cozy and relaxing time to get refreshed for the trip. Welcome to Tokyo!;4;3.1;14000;3;9;9
TokyoGuest#403;Room;Newly renovated in Dec 2018. Opened in March 2019 for a comfortable stay. The house is located in Nipponbashi Business, Nipponbashi, Chuo-ku, good location, very convenient transportation, 18 minutes on foot to Tokyo Station, Imperial Palace and other attractions.;2;3.7;12300;3;10;9
